c file generated by rmnkGenerator.R with seed  0 the 01/16/2024 20:06:47 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0.25 5 100 5 
p links
0  0  0  0  0  
14  14  14  14  14  
68  68  68  68  68  
39  39  39  39  39  
1  1  1  1  1  
34  34  34  34  34  
1  1  1  1  1  
87  87  87  87  87  
43  43  43  43  43  
14  14  14  14  14  
82  82  82  82  82  
59  59  59  59  59  
2  2  2  2  2  
51  51  51  51  51  
97  97  97  97  97  
85  85  85  85  85  
21  21  21  21  21  
54  54  54  54  54  
3  3  3  3  3  
74  74  74  74  74  
7  7  7  7  7  
73  73  73  73  73  
79  79  79  79  79  
85  85  85  85  85  
4  4  4  4  4  
37  37  37  37  37  
89  89  89  89  89  
99  99  99  99  99  
34  34  34  34  34  
98  98  98  98  98  
5  5  5  5  5  
44  44  44  44  44  
79  79  79  79  79  
33  33  33  33  33  
84  84  84  84  84  
35  35  35  35  35  
6  6  6  6  6  
70  70  70  70  70  
74  74  74  74  74  
42  42  42  42  42  
38  38  38  38  38  
20  20  20  20  20  
7  7  7  7  7  
28  28  28  28  28  
20  20  20  20  20  
44  44  44  44  44  
87  87  87  87  87  
70  70  70  70  70  
8  8  8  8  8  
40  40  40  40  40  
44  44  44  44  44  
25  25  25  25  25  
70  70  70  70  70  
39  39  39  39  39  
9  9  9  9  9  
51  51  51  51  51  
42  42  42  42  42  
5  5  5  5  5  
24  24  24  24  24  
32  32  32  32  32  
10  10  10  10  10  
14  14  14  14  14  
1  1  1  1  1  
45  45  45  45  45  
18  18  18  18  18  
22  22  22  22  22  
11  11  11  11  11  
78  78  78  78  78  
65  65  65  65  65  
70  70  70  70  70  
87  87  87  87  87  
97  97  97  97  97  
12  12  12  12  12  
75  75  75  75  75  
81  81  81  81  81  
13  13  13  13  13  
40  40  40  40  40  
89  89  89  89  89  
13  13  13  13  13  
48  48  48  48  48  
89  89  89  89  89  
23  23  23  23  23  
84  84  84  84  84  
29  29  29  29  29  
14  14  14  14  14  
12  12  12  12  12  
22  22  22  22  22  
93  93  93  93  93  
28  28  28  28  28  
48  48  48  48  48  
15  15  15  15  15  
33  33  33  33  33  
45  45  45  45  45  
21  21  21  21  21  
31  31  31  31  31  
17  17  17  17  17  
16  16  16  16  16  
73  73  73  73  73  
87  87  87  87  87  
83  83  83  83  83  
90  90  90  90  90  
48  48  48  48  48  
17  17  17  17  17  
64  64  64  64  64  
94  94  94  94  94  
96  96  96  96  96  
60  60  60  60  60  
51  51  51  51  51  
18  18  18  18  18  
93  93  93  93  93  
34  34  34  34  34  
9  9  9  9  9  
0  0  0  0  0  
43  43  43  43  43  
19  19  19  19  19  
59  59  59  59  59  
26  26  26  26  26  
14  14  14  14  14  
58  58  58  58  58  
29  29  29  29  29  
20  20  20  20  20  
