c file generated by rmnkGenerator.R with seed  0 the 01/16/2024 20:06:48 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0.25 20 100 5 
p links
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  
68  68  68  68  68  68  68  68  68  68  68  68  68  68  68  68  68  68  68  68  
39  39  39  39  39  39  39  39  39  39  39  39  39  39  39  39  39  39  39  39  
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  
87  87  87  87  87  87  87  87  87  87  87  87  87  87  87  87  87  87  87  87  
43  43  43  43  43  43  43  43  43  43  43  43  43  43  43  43  43  43  43  43  
14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  14  
82  82  82  82  82  82  82  82  82  82  82  82  82  82  82  82  82  82  82  82  
59  59  59  59  59  59  59  59  59  59  59  59  59  59  59  59  59  59  59  59  
2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  
51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  51  
97  97  97  97  97  97  97  97  97  97  97  97  97  97  97  97  97  97  97  97  
85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  
21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  
54  54  54  54  54  54  54  54  54  54  54  54  54  54  54  54  54  54  54  54  
3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  3  
74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  
7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  7  
73  73  73  73  73  73  73  73  73  73  73  73  73  73  73  73  73  73  73  73  
79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  
85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  85  
4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  4  
37  37  37  37  37  37  37  37  37  37  37  37  37  37  37  37  37  37  37  37  
89  89  89  89  89  89  89  89  89  89  89  89  89  89  89  89  89  89  89  89  
99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  99  
34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  34  
98  98  98  98  98  98  98  98  98  98  98  98  98  98  98  98  98  98  98  98  
5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  5  
44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  44  
79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  79  
33  33  33  33  33  33  33  33  33  33  33  33  33  33  33  33  33  33  33  33  
84  84  84  84  84  84  84  84  84  84  84  84  84  84  84  84  84  84  84  84  
35  35  35  35  35  35  35  35  35  35  35  35  35  35  35  35  35  35  35  35  
6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  6  
70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  70  
74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  74  
42  42  42  42  42  42  42  42  42  42  42  42  42  42  42  42  42  42  42  42  
38  38  38  38  38  38  38  38  38  38  38  38  38  38  38  38  38  38  38  38  
20  20  20  20  20  20  20  20  20  20  20  20  20  20  20  20  20  20  20  20  
